id,DateFrom,DateTo,min,mean,max
1,2021-07-03T00:00:00Z,2021-07-04T00:00:00Z,NaN,NaN,NaN
1,2021-07-04T00:00:00Z,2021-07-05T00:00:00Z,NaN,NaN,NaN
1,2021-07-05T00:00:00Z,2021-07-06T00:00:00Z,NaN,NaN,NaN
1,2021-07-06T00:00:00Z,2021-07-07T00:00:00Z,NaN,NaN,NaN
1,2021-07-07T00:00:00Z,2021-07-08T00:00:00Z,NaN,NaN,NaN
1,2021-07-08T00:00:00Z,2021-07-09T00:00:00Z,NaN,NaN,NaN
1,2021-07-09T00:00:00Z,2021-07-10T00:00:00Z,NaN,NaN,NaN
1,2021-07-10T00:00:00Z,2021-07-11T00:00:00Z,NaN,NaN,NaN
1,2021-07-11T00:00:00Z,2021-07-12T00:00:00Z,NaN,NaN,NaN
1,2021-07-12T00:00:00Z,2021-07-13T00:00:00Z,NaN,NaN,NaN
1,2021-07-13T00:00:00Z,2021-07-14T00:00:00Z,NaN,NaN,NaN
1,2021-07-14T00:00:00Z,2021-07-15T00:00:00Z,NaN,NaN,NaN
1,2021-07-15T00:00:00Z,2021-07-16T00:00:00Z,NaN,NaN,NaN
1,2021-07-16T00:00:00Z,2021-07-17T00:00:00Z,NaN,NaN,NaN
1,2021-07-17T00:00:00Z,2021-07-18T00:00:00Z,NaN,NaN,NaN
1,2021-07-18T00:00:00Z,2021-07-19T00:00:00Z,NaN,NaN,NaN
1,2021-07-19T00:00:00Z,2021-07-20T00:00:00Z,NaN,NaN,NaN
1,2021-07-20T00:00:00Z,2021-07-21T00:00:00Z,NaN,NaN,NaN
1,2021-07-21T00:00:00Z,2021-07-22T00:00:00Z,NaN,NaN,NaN
1,2021-07-22T00:00:00Z,2021-07-23T00:00:00Z,1833.057983,1849.896638,1861.590576
1,2021-07-23T00:00:00Z,2021-07-24T00:00:00Z,1847.728271,1855.844505,1864.137329
1,2021-07-24T00:00:00Z,2021-07-25T00:00:00Z,NaN,NaN,NaN
1,2021-07-25T00:00:00Z,2021-07-26T00:00:00Z,NaN,NaN,NaN
1,2021-07-26T00:00:00Z,2021-07-27T00:00:00Z,NaN,NaN,NaN
1,2021-07-27T00:00:00Z,2021-07-28T00:00:00Z,NaN,NaN,NaN
1,2021-07-28T00:00:00Z,2021-07-29T00:00:00Z,NaN,NaN,NaN
1,2021-07-29T00:00:00Z,2021-07-30T00:00:00Z,1890.608032,1893.737103,1896.353516
1,2021-07-30T00:00:00Z,2021-07-31T00:00:00Z,NaN,NaN,NaN
1,2021-07-31T00:00:00Z,2021-08-01T00:00:00Z,NaN,NaN,NaN
1,2021-08-01T00:00:00Z,2021-08-02T00:00:00Z,NaN,NaN,NaN
1,2021-08-02T00:00:00Z,2021-08-03T00:00:00Z,NaN,NaN,NaN
1,2021-08-03T00:00:00Z,2021-08-04T00:00:00Z,NaN,NaN,NaN
1,2021-08-04T00:00:00Z,2021-08-05T00:00:00Z,NaN,NaN,NaN
1,2021-08-05T00:00:00Z,2021-08-06T00:00:00Z,1906.553101,1918.666592,1926.682983
1,2021-08-06T00:00:00Z,2021-08-07T00:00:00Z,NaN,NaN,NaN
1,2021-08-07T00:00:00Z,2021-08-08T00:00:00Z,NaN,NaN,NaN
1,2021-08-08T00:00:00Z,2021-08-09T00:00:00Z,NaN,NaN,NaN
1,2021-08-09T00:00:00Z,2021-08-10T00:00:00Z,NaN,NaN,NaN
1,2021-08-10T00:00:00Z,2021-08-11T00:00:00Z,NaN,NaN,NaN
1,2021-08-11T00:00:00Z,2021-08-12T00:00:00Z,NaN,NaN,NaN
1,2021-08-12T00:00:00Z,2021-08-13T00:00:00Z,NaN,NaN,NaN
1,2021-08-13T00:00:00Z,2021-08-14T00:00:00Z,NaN,NaN,NaN
1,2021-08-14T00:00:00Z,2021-08-15T00:00:00Z,NaN,NaN,NaN
1,2021-08-15T00:00:00Z,2021-08-16T00:00:00Z,NaN,NaN,NaN
1,2021-08-16T00:00:00Z,2021-08-17T00:00:00Z,NaN,NaN,NaN
1,2021-08-17T00:00:00Z,2021-08-18T00:00:00Z,NaN,NaN,NaN
1,2021-08-18T00:00:00Z,2021-08-19T00:00:00Z,NaN,NaN,NaN
1,2021-08-19T00:00:00Z,2021-08-20T00:00:00Z,NaN,NaN,NaN
1,2021-08-20T00:00:00Z,2021-08-21T00:00:00Z,NaN,NaN,NaN
1,2021-08-21T00:00:00Z,2021-08-22T00:00:00Z,NaN,NaN,NaN
1,2021-08-22T00:00:00Z,2021-08-23T00:00:00Z,NaN,NaN,NaN
1,2021-08-23T00:00:00Z,2021-08-24T00:00:00Z,NaN,NaN,NaN
1,2021-08-24T00:00:00Z,2021-08-25T00:00:00Z,NaN,NaN,NaN
1,2021-08-25T00:00:00Z,2021-08-26T00:00:00Z,NaN,NaN,NaN
1,2021-08-26T00:00:00Z,2021-08-27T00:00:00Z,NaN,NaN,NaN
1,2021-08-27T00:00:00Z,2021-08-28T00:00:00Z,NaN,NaN,NaN
1,2021-08-28T00:00:00Z,2021-08-29T00:00:00Z,NaN,NaN,NaN
1,2021-08-29T00:00:00Z,2021-08-30T00:00:00Z,NaN,NaN,NaN
1,2021-08-30T00:00:00Z,2021-08-31T00:00:00Z,NaN,NaN,NaN
1,2021-08-31T00:00:00Z,2021-09-01T00:00:00Z,NaN,NaN,NaN
1,2021-09-01T00:00:00Z,2021-09-02T00:00:00Z,NaN,NaN,NaN
1,2021-09-02T00:00:00Z,2021-09-03T00:00:00Z,1797.204224,1822.955169,1859.539185
1,2021-09-03T00:00:00Z,2021-09-04T00:00:00Z,NaN,NaN,NaN
1,2021-09-04T00:00:00Z,2021-09-05T00:00:00Z,NaN,NaN,NaN
1,2021-09-05T00:00:00Z,2021-09-06T00:00:00Z,1910.832886,1917.275168,1919.134521
1,2021-09-06T00:00:00Z,2021-09-07T00:00:00Z,1913.870361,1957.922451,1968.765137
1,2021-09-07T00:00:00Z,2021-09-08T00:00:00Z,NaN,NaN,NaN
1,2021-09-08T00:00:00Z,2021-09-09T00:00:00Z,NaN,NaN,NaN
1,2021-09-09T00:00:00Z,2021-09-10T00:00:00Z,NaN,NaN,NaN
1,2021-09-10T00:00:00Z,2021-09-11T00:00:00Z,1848.928467,1861.056793,1896.152954
1,2021-09-11T00:00:00Z,2021-09-12T00:00:00Z,1891.701172,1919.591158,1935.558716
1,2021-09-12T00:00:00Z,2021-09-13T00:00:00Z,1828.654297,1892.623744,1915.838257
1,2021-09-13T00:00:00Z,2021-09-14T00:00:00Z,1865.411255,1871.470867,1884.188232
1,2021-09-14T00:00:00Z,2021-09-15T00:00:00Z,NaN,NaN,NaN
1,2021-09-15T00:00:00Z,2021-09-16T00:00:00Z,NaN,NaN,NaN
1,2021-09-16T00:00:00Z,2021-09-17T00:00:00Z,1896.39502,1896.589525,1897.442871
1,2021-09-17T00:00:00Z,2021-09-18T00:00:00Z,NaN,NaN,NaN
1,2021-09-18T00:00:00Z,2021-09-19T00:00:00Z,NaN,NaN,NaN
1,2021-09-19T00:00:00Z,2021-09-20T00:00:00Z,NaN,NaN,NaN
1,2021-09-20T00:00:00Z,2021-09-21T00:00:00Z,NaN,NaN,NaN
1,2021-09-21T00:00:00Z,2021-09-22T00:00:00Z,NaN,NaN,NaN
1,2021-09-22T00:00:00Z,2021-09-23T00:00:00Z,1821.146851,1855.582255,1889.78064
1,2021-09-23T00:00:00Z,2021-09-24T00:00:00Z,NaN,NaN,NaN
1,2021-09-24T00:00:00Z,2021-09-25T00:00:00Z,NaN,NaN,NaN
1,2021-09-25T00:00:00Z,2021-09-26T00:00:00Z,1889.105225,1901.230557,1911.338379
1,2021-09-26T00:00:00Z,2021-09-27T00:00:00Z,1901.037598,1915.821154,1926.834351
1,2021-09-27T00:00:00Z,2021-09-28T00:00:00Z,1888.619141,1912.359814,1920.460571
1,2021-09-28T00:00:00Z,2021-09-29T00:00:00Z,NaN,NaN,NaN
1,2021-09-29T00:00:00Z,2021-09-30T00:00:00Z,NaN,NaN,NaN
1,2021-09-30T00:00:00Z,2021-10-01T00:00:00Z,NaN,NaN,NaN
1,2021-10-01T00:00:00Z,2021-10-02T00:00:00Z,1782.185181,1782.579795,1783.202637
1,2021-10-02T00:00:00Z,2021-10-03T00:00:00Z,NaN,NaN,NaN
1,2021-10-03T00:00:00Z,2021-10-04T00:00:00Z,NaN,NaN,NaN
1,2021-10-04T00:00:00Z,2021-10-05T00:00:00Z,NaN,NaN,NaN
1,2021-10-05T00:00:00Z,2021-10-06T00:00:00Z,NaN,NaN,NaN
1,2021-10-06T00:00:00Z,2021-10-07T00:00:00Z,NaN,NaN,NaN
1,2021-10-07T00:00:00Z,2021-10-08T00:00:00Z,1923.802979,1930.861803,1936.73645
1,2021-10-08T00:00:00Z,2021-10-09T00:00:00Z,NaN,NaN,NaN
1,2021-10-09T00:00:00Z,2021-10-10T00:00:00Z,1925.138672,1925.636261,1927.838867
1,2021-10-10T00:00:00Z,2021-10-11T00:00:00Z,NaN,NaN,NaN
1,2021-10-11T00:00:00Z,2021-10-12T00:00:00Z,1968.108643,1995.899997,2015.061401
1,2021-10-12T00:00:00Z,2021-10-13T00:00:00Z,1963.412476,1980.822814,1991.828735
1,2021-10-13T00:00:00Z,2021-10-14T00:00:00Z,1934.858276,1950.600477,1969.854492
